dJD,UTC,Object,Exptime,Tilt,File,Sky,Spectrum,Notes
1.999,20:42,Pluto,300.2,13.2525,mbxgpP201406210033,1040:1080,995:1029,Double spectrum -- not sure why. Two bright rows. Very sharp.
2.002,20:47,Pluto,300.2,13.2525,mbxgpP201406210034,1037:1067,1000:1030,Double spectrum -- not sure why. Two bright rows. But much fuzzier.
2.01,20:58,Pluto,272.2,20.3725,mbxgpP201406210041,1042:1072,1008:1027,"Double spectrum -- not sure why. Two bright rows, not very distinct. Star just to bottom of lower one -- tight limits."
2.013,21:03,Pluto,272.2,20.3725,mbxgpP201406210042,1047:1077,1006:1031,Star just to bottom -- tight limit on rows for spectrum.
2.073,22:30,HD_146233,2.19,13.2475,mbxgpP201406210049,1040:1070,1016:1034,"Max 60,000 counts. Nearing saturation?? Not sure. No stellar contamination or CRs, for sure. Long tails of fallof to top/bottom of spectrum. But sky syubractin here will be basically unimport -- no lines compared to Pluto, since short exposure."
2.074,22:30,HD_146233,2.2,13.2475,mbxgpP201406210050,1060:1090,1008:1043,
2.08,22:39,HD_146233,2.19,20.375,mbxgpP201406210057,1037:1077,1016:1034,
2.08,22:39,HD_146233,2.19,20.375,mbxgpP201406210058,1041:1071,1016:1034,
4.001,20:45,Pluto,300.2,13.25,mbxgpP201406230049,1048:1078,1021:1042,
4.004,20:50,Pluto,300.2,13.25,mbxgpP201406230050,1047:1077,1022:1047,Two stars below
4.013,21:02,Pluto,272.2,20.3775,mbxgpP201406230057,1051:1081,1027:1046,Mess of asmospheric lines
4.016,21:07,Pluto,272.2,20.3775,mbxgpP201406230058,1057:1087,1030:1049,"Spectrum is quite flat (ie, doesn’t tilt up/down from one end of CCD to other). All are like this. That's good."
4.988,20:27,Pluto,300.2,13.25,mbxgpP201406240026,1047:1077,1014:1040,"NB: I see that Steve Potter's tutorial uses 35 lines for the sky, and 45 for the spectrum. So we're in the right ballpark. I am using less than that but it's fine."
4.992,20:32,Pluto,300.2,13.25,mbxgpP201406240027,1054:1080,1020:1040,
5.001,20:46,Pluto,272.2,20.3725,mbxgpP201406240040,1060:1085,1019:1045,"Edge of spectrum is sharper at the bottom than top. Maybe due to target motion within slit, or Charon, or?"
5.005,20:51,Pluto,272.2,20.3725,mbxgpP201406240041,985:1015,1023:1051,"Lots of atmospheric lines. NB: There is a small blob on the chip at 1350,1059. It is there in every image. It is above the spectrum, so maybe better to do sky subtraction *below*, not above? It's about 10% of the brigthness of the spectrum, and a few pixels across, so probably noticeable."
8.985,20:23,Pluto,300.2,13.2475,mbxgpP201406280032,985:1015,1021:1042,
8.989,20:28,Pluto,300.2,13.2475,mbxgpP201406280033,985:1010,1020:1043,
8.997,20:40,Pluto,272.2,20.3775,mbxgpP201406280041,985:1015,1021:1047,
9.001,20:45,Pluto,272.2,20.3775,mbxgpP201406280042,985:1015,1021:1047,
12.186,1:11,Pluto,300.2,13.25,mbxgpP201407010020,980:1010,1020:1042,
12.189,1:17,Pluto,300.2,13.25,mbxgpP201407010021,980:1010,1019:1039,
12.199,1:30,Pluto,272.2,20.375,mbxgpP201407010034,1046:1076,1014:1037,Did above since it looks very slightly less curvy here -- can do better atmo subtractions
12.202,1:35,Pluto,272.2,20.375,mbxgpP201407010035,970:1004,1012:1032,
13.182,1:06,Pluto,300.2,13.2475,mbxgpP201407020053,965:990,943:965,Is this Pluto?? It's in the wrong location and it's very faint. Might not be. Missed?
13.186,1:11,Pluto,300.21,13.2475,mbxgpP201407020054,965:990,944:962,"Did it above… since Pluto is quite low here, need to do it above to be closer to the center of curvature."
13.194,1:23,Pluto,272.2,20.375,mbxgpP201407020061,972:997,938:962,
13.197,1:28,Pluto,272.2,20.375,mbxgpP201407020062,973:996,938:965,
