JD, UTC, Subsollon_Pluto [deg], Subsollat_Pluto [deg]
2456830.3702401598, 2014 JUN 21 20:53:08.750, -26.31748, -48.166386
2456832.3724594926, 2014 JUN 23 20:56:20.500, 86.547573, -48.173044
2456833.3606250002, 2014 JUN 24 20:39:18.000, 142.25034, -48.176336
2456837.3572829873, 2014 JUN 28 20:34:29.250, 7.5404697, -48.189546
2456840.5582175949, 2014 JUL 02 01:23:50.000, -172.02511, -48.200186
2456841.5538599552, 2014 JUL 03 01:17:33.500, -115.90163, -48.203471
2456886.4249276626, 2014 AUG 16 22:11:53.750, -106.65337, -48.351504
2456888.4185908576, 2014 AUG 18 22:02:46.250, 5.7196385, -48.358033
2456892.4136574073, 2014 AUG 22 21:55:40.000, -129.09873, -48.371188
2456893.4080034699, 2014 AUG 23 21:47:31.500, -73.052659, -48.374436
2456895.4087876203, 2014 AUG 25 21:48:39.250, 39.720806, -48.380998
2456896.4033072949, 2014 AUG 26 21:40:45.750, 95.776476, -48.384279
2456906.3818998015, 2014 SEP 05 21:09:56.143, -61.787241, -48.416991
