2456828.36417, Pluto, 1.02600002289, , SALTICAM, IMAGING
2456830.35962, Pluto, 2.02799987793, , SALTICAM, IMAGING
2456830.36269, Pluto, 2.02699995041, , SALTICAM, IMAGING
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36273, Pluto, 300.199, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.36642, Pluto, 300.202, 13.2525, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37421, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.37759, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456830.43442, HD 146233, 1.02099990845, , SALTICAM, IMAGING
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43763, HD 146233, 2.193, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.43787, HD 146233, 2.196, 13.2475, RSS, SPECTROSCOPY
2456830.44382, HD 146233, 1.02600002289, , SALTICAM, IMAGING
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44397, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456830.44425, HD 146233, 2.194, 20.375, RSS, SPECTROSCOPY
2456832.35926, Pluto, 2.01799988747, , SALTICAM, IMAGING
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36468, Pluto, 300.199, 13.25, RSS, SPECTROSCOPY
2456832.36505, Pluto, 2.01800012589, , SALTICAM, IMAGING
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.36838, Pluto, 300.201, 13.25, RSS, SPECTROSCOPY
2456832.3767, Pluto, 272.202, 20.3775, RSS, SPECTROSCOPY
2456832.3767, Pluto, 272.202, 20.3775, RSS, SPECTROSCOPY
2456832.3767, Pluto, 272.202, 20.3775, RSS, SPECTROSCOPY
2456832.3767, Pluto, 272.202, 20.3775, RSS, SPECTROSCOPY
2456832.3767, Pluto, 272.202, 20.3775, RSS, SPECTROSCOPY
2456832.38008, Pluto, 272.199, 20.3775, RSS, SPECTROSCOPY
2456832.38008, Pluto, 272.199, 20.3775, RSS, SPECTROSCOPY
2456832.38008, Pluto, 272.199, 20.3775, RSS, SPECTROSCOPY
2456832.38008, Pluto, 272.199, 20.3775, RSS, SPECTROSCOPY
2456832.38008, Pluto, 272.199, 20.3775, RSS, SPECTROSCOPY
2456833.34971, Pluto, 1.01699995995, , SALTICAM, IMAGING
2456833.35216, Pluto, 300.205, 13.25, RSS, SPECTROSCOPY
2456833.35216, Pluto, 300.205, 13.25, RSS, SPECTROSCOPY
2456833.35216, Pluto, 300.205, 13.25, RSS, SPECTROSCOPY
2456833.35216, Pluto, 300.205, 13.25, RSS, SPECTROSCOPY
2456833.35216, Pluto, 300.205, 13.25, RSS, SPECTROSCOPY
2456833.35219, Pluto, 1.01399993896, , SALTICAM, IMAGING
2456833.35587, Pluto, 300.202, 13.25, RSS, SPECTROSCOPY
2456833.35587, Pluto, 300.202, 13.25, RSS, SPECTROSCOPY
2456833.35587, Pluto, 300.202, 13.25, RSS, SPECTROSCOPY
2456833.35587, Pluto, 300.202, 13.25, RSS, SPECTROSCOPY
2456833.35587, Pluto, 300.202, 13.25, RSS, SPECTROSCOPY
2456833.36554, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456833.36554, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456833.36554, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456833.36554, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456833.36554, Pluto, 272.2, 20.3725, RSS, SPECTROSCOPY
2456833.36892, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456833.36892, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456833.36892, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456833.36892, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456833.36892, Pluto, 272.199, 20.3725, RSS, SPECTROSCOPY
2456833.39394, Pluto, 5.198, 1.4425, RSS, FABRY-PEROT
2456833.39478, Pluto, 5.197, 1.4425, RSS, FABRY-PEROT
2456833.3953, Pluto, 5.197, 1.4425, RSS, FABRY-PEROT
2456833.39736, Pluto, 5.197, 1.4425, RSS, FABRY-PEROT
2456837.33902, Pluto, 1.01799988747, , SALTICAM, IMAGING
2456837.34108, Pluto, 1.02699995041, , SALTICAM, IMAGING
2456837.34164, Pluto, 1.01699995995, , SALTICAM, IMAGING
2456837.34484, Pluto, 1.02200007439, , SALTICAM, IMAGING
2456837.34959, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.34959, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.34959, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.34959, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.34959, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.35205, Pluto, 1.01799988747, , SALTICAM, IMAGING
2456837.3533, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.3533, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.3533, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.3533, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.3533, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456837.36144, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.36144, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.36144, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.36144, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.36144, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.3648, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.3648, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.3648, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.3648, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456837.3648, Pluto, 272.2, 20.3775, RSS, SPECTROSCOPY
2456840.54628, Pluto, 3.01399993896, , SALTICAM, IMAGING
2456840.54985, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.54985, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.54985, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.54985, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.54985, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.55045, Pluto, 3.0039999485, , SALTICAM, IMAGING
2456840.55354, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.55354, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.55354, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.55354, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.55354, Pluto, 300.197, 13.25, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56306, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56642, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56642, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56642, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56642, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456840.56642, Pluto, 272.197, 20.375, RSS, SPECTROSCOPY
2456841.54389, Pluto, 6.0150001049, , SALTICAM, IMAGING
2456841.54534, Pluto, 6.02399992943, , SALTICAM, IMAGING
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54619, Pluto, 300.203, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.54988, Pluto, 300.206, 13.2475, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.558, Pluto, 272.203, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
2456841.56137, Pluto, 272.204, 20.375, RSS, SPECTROSCOPY
